group,5869
statement,5952
end,5975
accord,5918
intern,5925
report,5968
standard,5932
financi-statement,5853
intern-financi,3427
financi-report,4863
report-standard,3276
board,5947
director,5928
annual,5925
gener,5980
assembl,1857
sharehold,5935
dear,1541
annual-gener,3985
gener-assembl,204
dear-sharehold,1227
success,5375
establish,5847
lead,5373
posit,5940
worldwid,3640
game,1292
sector,5171
ad,5347
import,5508
project,5709
asset,5970
lead-posit,1643
posit-worldwid,121
import-project,331
hand,5151
increas,5974
earn,5919
cost,5974
aris,5649
implement,5570
comparison,3774
featur,3742
contribut,5883
footbal,623
world,5075
cup,709
group-manag,3212
increas-cost,784
cost-aris,935
import-contribut,441
world-cup,400
inter,1689
undertak,3965
signific,5923
oper,5982
licens,3310
countri,5532
south,4005
win,2242
contest,930
obtain,5717
lotteri,146
sign,4948
contract,5882
organ,4411
state,5879
acquir,5779
share,5980
bet,200
deregul,596
signific-oper,579
result,5980
parent,4645
turnov,3574
reach,5125
mil,258
post,4422
decreas,5639
effect,5964
local,5362
sale,5975
grow,4928
expans,4796
offset,4786
revenu,5650
financi-result,3254
local-sale,246
grow-intern,172
intern-expans,556
revenu-increas,1219
tax,5955
amount,5955
slight,1951
compar,5708
minor,5108
tax-amount,1101
slight-decreas,335
note,5949
subsequ,5404
burden,1446
capit,5982
structur,5688
syndic,1938
revolv,1844
credit,5800
facil,5522
agreement,5792
capit-structur,2143
revolv-credit,1077
credit-facil,2718
facil-agreement,526
corpor,5947
purpos,5801
includ,5980
refinanc,1735
exist,5765
indebted,1405
acquisit,5895
expenditur,5193
anticip,4439
significantli,4881
improv,5830
expens,5942
gener-corpor,491
corpor-purpos,728
purpos-includ,252
acquisit-invest,186
capit-expenditur,3974
significantli-improv,937
group-capit,1037
financi-expens,2000
cash,5961
balanc,5967
debt,5804
cash-balanc,1402
total-debt,953
perform,5925
major,5845
context,2861
largest,4714
number,5970
exclus,4112
sport,2237
point,5039
major-countri,144
largest-number,272
larg,5369
part,5924
network,4850
effici,5203
integr,5694
process,5797
expect,5895
complet,5822
shortli,909
satisfactori,2263
larg-part,1088
integr-process,508
sale-report,168
import-market,822
turkey,1336
fix,5780
odd,213
subsidiari,5903
continu,5919
discontinu,3067
week,2792
begin,5746
march,5747
due,5950
legal,5665
disput,2377
place,5543
group-subsidiari,1391
posit-perform,515
legal-disput,599
nation,5257
late,2416
temporari,4908
complic,599
procedur,5317
award,4376
joint,4986
ventur,4438
aim,4988
rapid,3011
technolog,5415
updat,3931
ensur,5488
high,5609
qualiti,5460
joint-ventur,3909
rapid-expans,333
sale-network,715
ensur-high,235
high-qualiti,2623
own,5298
strong,5210
growth,5588
rate,5975
consecut,2170
report-strong,142
strong-growth,2509
growth-rate,3054
contributor,1180
ongo,4686
wide,4353
popular,1821
upgrad,3107
increas-turnov,174
ongo-expans,150
continu-upgrad,165
net,5976
drop,2730
machin,2325
day,5376
termin,5050
experi,5227
develop,5936
indic,4803
potenti,5572
signific-growth,1295
growth-potenti,1786
offer,5677
infrastructur,3916
system,5784
progress,5482
infrastructur-project,574
achiev,5574
expand,4990
attract,4315
player,2889
come,3639
remain,5854
penetr,1845
low,4745
remain-high,735
polish,772
govern,5702
polish-market,123
run,3883
commenc,4158
commenc-oper,507
portfolio,4529
fresh,1447
educ,3541
mark,4150
introduct,4152
big,1595
north,4245
demand,5494
proof,978
top,4325
administr,5612
abil,4795
penetr-rate,216
market-worldwid,373
privat,4897
license,390
achiev-high,372
high-rate,585
maintain,5742
level,5732
time,5947
effort,4845
quantiti,2189
provid,5959
boost,2847
profit,5940
maintain-high,582
high-level,3192
boost-profit,138
profit-growth,1711
tender,1896
hous,3974
largest-intern,100
control,5854
stake,2694
solut,4206
instal,4814
control-stake,161
offer-integr,194
transit,4142
success-complet,1347
prolong,1184
law,5571
approv,5822
parliament,1162
call,5070
period,5953
commiss,4763
video,1360
electron,4139
monitor,5050
monitor-system,838
provis,5877
onlin,2757
relat,5971
support,5829
servic,5968
western,2675
onlin-game,109
support-servic,1094
central,5050
central-system,114
consortium,1436
won,2253
tender-process,240
presenc,4008
announc,4650
appar,1518
vendor,1446
choos,2282
suppli,5326
august,5064
proceed,3473
mainten,4981
offer-support,132
infrastructur-includ,184
includ-mainten,160
offici,3408
order,5785
equiti,5959
member,5558
grant,5414
territori,1517
varieti,3479
instant,419
decis,5285
break,1849
monopoli,340
public,5738
hors,181
race,913
research,5022
innov,4471
base,5977
product,5895
design,5594
edg,2044
custom,5794
innov-solut,742
exist-product,946
product-design,728
lead-edg,334
edg-technolog,167
divis,4586
adopt,5687
advanc,5629
practic,5486
constant,3541
evolut,1462
telecommun,2133
interact,2772
altern,3926
channel,3449
internet,3423
mobil,2903
trade,5909
transact,5889
news,2005
ad-servic,276
servic-trade,127
trade-transact,463
news-servic,126
human,4440
resourc,5488
work,5851
condit,5863
pleasant,383
function,5318
environ,5339
staff,4930
train,4761
career,2809
fulli,5623
compliant,1109
health,4192
safeti,3926
regul,5489
strengthen,4907
organiz,1906
human-resourc,3947
work-condit,1206
staff-train,468
fulli-compliant,175
safeti-regul,209
invest-significantli,110
organiz-structur,1077
distinguish,2008
multin,1095
workplac,1953
great,4152
institut,5696
larg-multin,115
great-place,152
intern-institut,335
depart,4828
receiv,5965
field,3942
inform,5960
peopl,4789
commit,5816
excel,4292
inform-technolog,2666
peopl-manag,200
propos,5134
meet,5932
distribut,5730
dividend,5910
interim,4499
sharehold-annual,174
gener-meet,4616
total-dividend,1702
interim-dividend,1948
yield,4256
dividend-yield,1761
sharehold-amount,226
final,5309
repeat,1221
extraordinari,4047
free,5565
ratio,5244
extraordinari-meet,691
free-share,409
exist-share,824
prospect,4225
rapidli,2910
competitor,3256
lost,2290
client,2927
date,5933
rapidli-develop,174
success-rate,130
major-competitor,235
addit,5969
liber,461
commerci,5660
technic,4689
behalf,4323
technic-oper,178
factor,5437
gave,2357
impuls,280
express,5584
intent,3858
fund,5867
deficit,3063
optim,3436
sector-develop,143
signific-number,543
region,5182
start,5347
rest,3322
follow,3035
set,5855
pressur,3432
exercis,5470
circul,1856
countri-base,115
member-state,639
illeg,805
china,3577
play,3840
role,4740
estim,5860
major-role,511
broad,3209
unparallel,370
readi,2797
face,4713
challeng,4574
broad-portfolio,160
technolog-innov,845
innov-product,1270
face-challeng,131
develop-increas,112
sincer,908
vice,3383
presid,4237
vice-presid,2566
certifi,3578
consist,5868
page,4215
refer,5597
independ,5663
auditor,5743
independ-auditor,2190
auditor-report,4178
report-provid,430
account,5977
certifi-public,867
public-account,1692
account-auditor,242
audit,5820
accompani,4341
individu,5627
compris,5559
sheet,5886
incom,5962
flow,5918
summari,4601
polici,5900
explanatori,1500
balanc-sheet,5849
incom-statement,3815
statement-statement,1171
cash-flow,5848
flow-statement,3617
signific-account,3226
account-polici,4865
explanatori-note,868
respons,5854
manag-respons,1278
prepar,5904
fair,5720
present,5940
union,3654
fair-present,1171
