docid,local_adv
ARG1000021,-0.02020202
ARG1000031,0.444732577
ARG1000032,-0.695735506
ARG1000181,1.463435106
ARG1000240,0.394158514
AUS1001595,1.565265845
AUS1001622,-0.401408451
AUS1001666,0.122858337
AUS1001688,1.384308511
AUS1001734,-0.736607143
AUS1001821,-0.760242792
AUS1001858,-0.867924528
AUS1001872,-0.9
AUS1001899,1.990459932
AUS1002147,0.341713371
AUS1002217,0.8
AUS1002228,1.092857143
AUS1002296,-1.625
AUS1002305,0.75
AUS1002318,-0.438384679
AUS1002319,2.444158076
AUS1002339,0.222222222
AUS1002393,-0.15
AUS1002395,0
AUS1002469,-0.830357143
AUS1002479,-1.235294118
AUS1002483,0.460331299
AUS1002727,0.399350649
AUS1002732,-0.136363636
AUS1002859,0.497764531
AUS1002877,-0.342857143
AUS1002880,-0.352941176
AUS1002895,1.428571429
AUS1003101,-0.397984887
AUS1003133,-0.166491043
AUS1003294,1.083798883
AUS1003336,0.214285714
AUS1003410,-0.075
AUS1003421,1.2
AUS1003489,1.368421053
AUS1003512,0.841666667
AUS1003559,0.111111111
AUS1003566,1.866666667
AUS1003597,-1.264150943
AUS1003671,-0.839941263
AUS1003757,-0.094637224
AUS1003776,-1.058823529
AUS1003791,0.955882353
AUS1003795,1.418012999
AUS1003827,1.011904762
AUS1003867,-1.1025
AUS1004078,0.362934363
AUS1004288,-0.836461126
AUS1004753,-0.814647887
AUS1004828,0.096463023
AUS1004836,-1.375
AUS1005094,0.196303378
AUS1005142,1.928571429
AUS1005165,-0.943089431
AUS1005230,0.819654428
AUS1005381,-1.080225989
AUS1005428,-0.529244747
AUS1005441,-0.427374302
AUS1005546,0.533333333
AUS1005628,1.656108597
AUS1005817,-0.452054795
AUS1006066,0.869565217
AUS1006119,-0.285714286
AUS1006190,-0.526315789
AUS1006198,0.954545455
AUS1006388,-0.661549708
AUS1006410,-2.091052376
AUS1006547,-0.246835443
AUS1006654,0.273561461
AUS1006668,1.714285714
AUS1006836,0.163170163
AUS1006857,1.041528239
AUS1006966,1.878787879
AUS1007011,-0.037071651
AUS1007261,1.129807692
AUS1007275,-0.073770492
AUS1007311,0.788643533
AUS1007501,0.084632517
AUS1007634,0.8
AUS1007808,0
AUS1007984,4.198585859
AUS1007997,-0.394477318
AUS1008060,-1.089893115
AUS1008144,-0.050847458
AUS1008167,0.23853211
AUS1008399,0.038602941
AUS1008461,-1.30952381
AUS1008462,-0.728241563
AUS1008478,0.158955224
AUS1008491,0.099158092
AUS1008576,-0.720485721
AUS1008577,0.105939005
AUS1008659,-0.977258085
AUS1008773,-1.110093743
AUS1008855,0.297533018
AUS1008932,-1.358974359
AUS1008946,-0.698412698
AUS1009120,-1.252264808
AUS1009123,-0.224343675
AUS1009128,1.165100671
AUS1009180,0.810810811
AUS1009241,-0.314837275
AUS1009348,0.006849315
AUS1009391,-0.208
AUS1009396,-0.681222707
AUS1009399,0.527472527
AUS1009401,0.142857143
AUS1009542,-0.793650794
AUS1009649,0.149321267
AUS1009671,-0.062071918
AUS1009788,0.023622047
AUS1009802,0.887225549
AUS1009992,1.728019721
AUS1010029,0.562855114
AUS1010373,0.503731343
AUS1010424,0.178571429
AUS1010432,-0.09688196
AUS1010448,1.018666667
AUS1010521,-0.027981346
AUS1010533,-0.074524842
AUS1010596,1.550111359
AUS1010686,-1.862068966
AUS1010695,0.428571429
AUS1010700,1.404129794
AUS1010765,0.056847545
AUS1010775,-0.780141844
AUS1010874,-1.644444444
AUS1010887,-1.259259259
AUS1010934,-0.20979021
AUS1011016,-0.15503876
AUS1011059,1.473568282
AUS1011073,-1.060606061
AUS1011156,0.305349794
AUS1011252,0
AUS1011314,-1.5
AUS1011329,0.576923077
AUS1011330,-0.210124164
AUS1011333,-0.086185044
AUS1011564,1.627906977
AUS1011593,-0.589830508
AUS1011625,2.967303609
AUS1011641,-0.757197697
AUS1011693,-1.05
AUS1011883,-0.358974359
AUS1011925,0.404730618
AUS1011933,0.037112469
AUS1012106,1.875
AUS1012123,-1.261538462
AUS1012159,-0.403791469
AUS1012242,1.450800915
AUS1012291,0.725806452
AUS1012299,-0.4
AUS1012303,-0.148148148
AUS1012317,-0.035897436
AUS1012468,0.284405286
AUS1012549,-1.52
AUS1012570,-0.25
AUS1012616,-0.053763441
AUS1012715,0.175438596
AUS1012726,0.288461538
AUS1012879,1.078823529
AUS1012988,0.321428571
AUS1013114,1.178269618
AUS1013145,-1.400651466
AUS1013365,0.017039497
AUS1013369,-0.82407237
AUS1013392,-0.841328413
AUS1013403,1.71351452
AUS1013415,0.184210526
AUS1013512,0.45751634
AUS1013526,-1.058823529
AUS1013612,0.503003003
AUS1013670,-1.545986178
AUS1013673,-0.549661538
AUS1013801,-0.099693252
AUS1013835,-0.653061224
AUS1013879,-0.892448513
AUS1013987,0.535519126
AUS1014002,0.413793103
AUS1014005,0.540372671
AUS1014028,0.219607843
AUS1014164,0.867052023
AUS1014179,-1.135573673
AUS1014202,1.851219512
AUS1014242,1.4
AUS1014261,0.609375
AUS1014285,0.326267281
AUS1014316,1.788617886
AUS1014384,0.666666667
AUS1014399,-0.724817518
AUS1014545,-0.685714286
AUS1014616,0.692307692
AUS1014653,-0.116504854
AUS1014719,1.304659498
AUS1014767,0.463266261
AUS1014790,-0.043859649
AUS1014989,0.320512821
AUS1015021,1.277260886
AUS1015049,1.691039427
AUS1015058,-1.972413793
AUS1015093,-0.156424581
AUS1015124,-0.286123619
AUS1015141,-0.26025043
AUS1015156,-1.296226415
AUS1015164,0.650940171
AUS1015233,0.614640884
AUS1015299,0.844700944
AUS1015410,0.455082742
AUS1015425,-1.023673469
AUS1015447,1.305430992
AUS1015473,0.77960691
AUS1015561,1.764923168
AUS1015581,-0.324324324
AUS1015583,0.333333333
AUS1015590,0.238921002
AUS1015595,0.315789474
AUS1015737,1.120323129
AUS1015823,-1.223622047
AUS1015840,-0.287355604
AUS1015856,-0.622222222
AUS1016027,1.311196911
AUS1016057,-0.808823529
AUS1016080,-0.61299435
AUS1016106,2.829545455
AUS1016145,-0.61440678
AUS1016158,0.190329218
AUS1016243,-1.2
AUS1016272,0.340105342
AUS1016280,-0.044565217
AUS1016328,-1.088058735
AUS1016492,0.654893304
AUS1016499,-0.374269006
AUS1016508,-1.159924623
AUS1016515,0.15393425
AUS1016537,-0.266666667
AUS1016561,-0.057209574
AUS1016594,0.268551237
AUS1016609,-0.228772991
AUS1016633,0.340909091
AUS1016730,-0.637951663
AUS1016828,-0.603314917
AUS1016832,-0.613515116
AUS1016869,-1.1176781
AUS1016973,-0.351706037
AUS1016984,-0.032757052
AUS1017129,-0.838647343
AUS1017222,-1.051291468
AUS1017391,-0.068837702
AUS1017398,0.106007067
AUS1017456,-0.80969697
AUS1017479,0.66953317
AUS1017531,-1.111111111
AUS1017569,-1.103773585
AUS1017576,1.149517685
AUS1017634,-1.377997914
AUS1017757,-0.746987952
AUS1017775,-0.030165913
AUS1017796,-0.656800564
AUS1017819,-0.375
AUS1017860,-0.133333333
AUS1017882,0.044720497
AUS1017896,-1.10380117
AUS1017935,-0.040540541
AUS1017972,-0.136909323
AUS1018053,-0.181582361
AUS1018054,-0.968393782
AUS1018085,-0.390358613
AUS1018149,0.363157895
AUS1018162,-0.201957689
AUS1018182,-0.7453125
AUS1018220,-0.058485107
AUS1018260,0.140586797
AUS1018282,-0.370776256
AUS1018347,1.727900552
AUS1018366,0.042328042
AUS1018477,-0.672941176
AUS1018552,-1.339857651
AUS1018612,-0.980869565
AUS1018616,-0.036015574
AUS1018622,-0.021186441
AUS1018710,-0.060907118
AUS1018771,-0.780517879
AUS1018782,1.338235294
AUS1019185,0.234607803
AUS1019195,-1.178571429
AUS1019198,-0.417158019
AUS1019217,0.35
AUS1019223,-0.316722633
AUS1019264,-0.571428571
AUS1019289,-0.016903923
AUS1019327,0.080912215
AUS1019369,0.034937888
AUS1019413,1.634070796
AUS1019429,0.433497537
AUS1019523,-0.612612613
AUS1019594,-0.004408051
AUS1019622,0.225501114
AUS1019643,0.231555051
AUS1019659,-0.719580777
AUS1019660,0.038345044
AUS1019687,0.347780127
AUS1019713,1.243243243
AUS1019714,1.151269036
AUS1019736,-1.166666667
AUS1019752,0.301124957
AUS1019767,0.034285714
AUS1019781,-1.304347826
AUS1019795,-0.534037559
AUS1019797,-0.506819484
AUS1019803,-0.068149984
AUS1019810,-0.079815795
AUS1019831,-0.460175305
AUS1019832,-0.245709828
AUS1019838,1.239130435
AUS1019842,-0.948948949
AUS1019851,-0.16875
AUS1019876,-0.17987152
AUS1019877,0.258227848
AUS1019891,-0.295868852
AUS1019932,-0.501253133
AUS1019933,1.445097245
AUS1019936,0.366176471
AUS1019972,-0.19200701
AUS1019995,-0.815668203
AUS1020029,-0.073051948
AUS1020110,0.016908213
AUS1020155,-0.883185258
AUS1020166,-0.193006993
AUS1020194,-0.912162162
AUS1020198,-0.230769231
AUS1020208,1.277639047
AUS1020210,-0.397660819
AUS1020227,0.26106591
AUS1020254,0.831486246
AUS1020282,0.833333333
AUS1020301,0.027615063
AUS1020306,-0.44022519
AUS1020312,0.716842723
AUS1020313,0.122807018
AUS1020330,0.28
AUS1020332,-0.138157895
AUS1020349,1.605633803
AUS1020350,-0.540478905
AUS1020379,-0.141891892
AUS1020396,0.795233969
AUS1020400,-0.727320955
AUS1020402,0.4375
AUS1020418,-0.939814815
AUS1020431,-0.892462312
AUS1020442,-0.213903743
AUS1020456,-0.218120805
AUS1020468,0.56146789
AUS1020470,-0.847953216
AUS1020534,0.118042314
AUS1020540,-0.802816901
AUS1020557,0.624248497
AUS1020593,-1.139546599
AUS1020597,-0.783065513
AUS1020599,-0.145833333
AUS1020601,0.88
AUS1020609,0.239572989
AUS1020680,0.635091926
AUS1020694,-1.090909091
AUS1020717,-1.076699463
AUS1020730,0.312982136
AUS1020871,2.464019851
AUS1020915,-1.336134454
AUS1020977,-0.461538462
BEL1000030,1.823788546
BEL1000041,0.992647059
BEL1000042,1.128608924
BEL1000049,-0.277777778
BEL1000069,1.157241073
BEL1000075,-0.171428571
BEL1000078,-1.076679842
BEL1000094,0.747752248
BEL1000108,-0.095231663
BEL1000111,0.691588785
BEL1000118,0.697553703
BEL1000138,0.504420085
BEL1000141,-0.006437768
BEL1000148,0.666666667
BEL1000152,-1.107692308
BEL1000173,1.081862236
BEL1000195,1.829461322
BEL1000208,-1.170475201
BEL1000210,0.023474178
BEL1000213,-0.480781759
BEL1000222,-0.29658516
BEL1000241,1
BEL1000246,-0.105263158
BEL1000279,0.635869565
BEL1000293,1.039846375
BEL1000315,-0.138073158
BEL1000322,1.135135135
BEL1000331,1.02055094
BEL1000348,0.947406778
BEL1000349,0.243349061
BEL1000365,0.15975039
BEL1000368,1.093961708
BEL1000376,0.368768769
BEL1000379,0.156
BEL1000382,1.881385327
BEL1000390,-0.480262295
BEL1000419,1.002272727
BEL1000441,0.389529448
BEL1000462,1.064339698
BEL1000463,-0.05418798
BEL1000473,1.130952381
BEL1000491,-0.135850991
BEL1000502,0.150596164
BEL1000503,0.412863816
BEL1000504,-1.009727626
BEL1000510,-1.595821462
BEL1000517,0.143884892
BEL1000522,-1.535981125
BEL1000533,1.713355049
BEL1000537,-0.164674452
BEL1000540,1.123944613
BEL1000544,-0.233766234
BEL1000591,0.250888099
BEL1000642,-1.171895936
BEL1000650,-1.120218579
BEL1000656,0.981051345
BEL1000674,0.961931231
BEL1000679,-0.666666667
BEL1000681,-1.174459739
BEL1000685,0.4781893
BEL1000693,1.227272727
BEL1000697,-0.272812111
BEL1000702,-1.375345999
BEL1000714,-0.3
BEL1000753,-1.389389389
BEL1000781,-0.491405318
BEL1000785,0.102286402
BEL1000791,-1.357599731
BEL1000793,0.472972973
BEL1000804,0.296428817
BEL1000825,0.16625
BEL1000835,1.426710098
BEL1000837,-0.652173913
BEL1000840,0.93212713
BEL1000850,0.183066362
BEL1000860,-0.054545455
BEL1000892,0.03157297
BEL1000908,-0.656499556
BEL1000909,-0.104166667
BEL1000953,1.013535936
BEL1000962,-0.634689661
BEL1000967,-0.868902439
BEL1000969,-0.998732573
BEL1000979,-0.576923077
BEL1000989,-0.068965517
BEL1000997,-0.440414508
BEL1001004,-2
BEL1001023,0.87512054
BEL1001037,1.180467091
BEL1001044,1.841536615
BEL1001067,1.147708674
BEL1001107,0.073170732
BEL1001126,0.272776869
BEL1001146,0.932727273
BEL1001174,-0.057583235
BEL1001175,1.270050664
BEL1001187,1.33460076
BEL1001193,0.76925461
BEL1001235,-0.72
BEL1001243,1.326664174
BEL1001264,-0.172737491
BEL1001281,1.5
BEL1001306,-0.893306826
BEL1001333,-0.451931539
BEL1001336,0.185761958
BEL1001410,-0.566901408
BEL1001472,0.129032258
BEL1001473,0.330434783
BEL1001504,-0.236330656
BRA1000155,0.088888889
BRA1000235,1.579054398
BRA1000282,1.087452471
BRA1000284,-1.138827023
BRA1000458,-0.144352219
BRA1000483,-1.449275362
BRA1000694,-1.647668394
BRA1000709,-1.958993476
BRA1000713,-1.429362881
BRA1000868,1.648178138
BRA1000918,0.175336061
BRA1000947,0.75
BRA1000957,-0.238731136
BRA1000986,-0.096542553
BRA1001003,0.074185766
BRA1001019,0.894288886
BRA1001042,-0.46557377
CAN1001532,2
CAN1002518,-0.22875817
CAN1002797,0.039473684
CAN1002810,0.285714286
CAN1003070,-0.3
CAN1003269,-2.20E-16
CAN1003364,0.181818182
CAN1003520,-0.198834305
CAN1003649,-0.068181818
CAN1003971,0.128470678
CAN1004220,1.2
CAN1004323,-0.375
CAN1004436,0.311567261
CAN1005116,1.139784946
CAN1005468,-0.51641651
CAN1005658,0.672413793
CAN1006956,-0.375
CAN1006959,-1.534883721
CAN1007058,-0.876865672
CAN1007216,0.164383562
CAN1007315,0
CAN1007828,1.022727273
CAN1007834,0.121212121
CAN1007898,-1
CAN1008393,1.800995025
CAN1008687,0.75
CAN1009164,-0.45540797
CAN1009326,0.857142857
CAN1009936,-1.846153846
CAN1010535,-1.240768095
CAN1010719,0.014363885
CAN1010807,-0.222222222
CAN1010952,0.065268987
CAN1010995,1.583815029
CAN1011091,-1.308510638
CAN1011119,0
CAN1011967,0.428571429
CAN1012101,0.238095238
CAN1012166,1.125
CAN1012211,1.6
CAN1012284,-1.056520784
CAN1012319,0.666666667
CAN1012607,-0.136363636
CAN1013471,0.061333333
CAN1013645,-0.915178571
CAN1013719,-0.888888889
CAN1014206,0.08
CAN1014263,0.138888889
CAN1014322,-0.33
CAN1014677,-1.176035503
CAN1014806,0.923913043
CAN1014852,1.435934145
CAN1014960,1.372036309
CAN1014984,1.476407915
